Source,StoryID,File,Full Story,Title,Sentence Number,Original Sentence,Modifier Type,Modifier,Head,Preremove Sentence Part,To Remove Part,Postremove Sentence Part,Removed Words Start Index,Removed Words End Index,Head Word Index
ROC,8a9a6349-312a-46d4-bbac-a22ae29d42ca,/resources/master/parsed_sentences/parsed_sentences_roc//story_5503.dat,I heard knocking at the rear of the apartment. I hollered who's there at the back door. I didn't hear an answer. I grabbed a baseball bat for for protection. The knocking was just the wind so I didn't need the bat.,Knock Knock,1,I hollered who's there at the back door.,advmod,there,door,I hollered who's,there,at the back door.,4,4,9
ROC,8a9a6349-312a-46d4-bbac-a22ae29d42ca,/resources/master/parsed_sentences/parsed_sentences_roc//story_5503.dat,I heard knocking at the rear of the apartment. I hollered who's there at the back door. I didn't hear an answer. I grabbed a baseball bat for for protection. The knocking was just the wind so I didn't need the bat.,Knock Knock,1,I hollered who's there at the back door.,amod,back,door,I hollered who's there at the,back,door.,7,7,9
ROC,dd4432d1-caab-44ad-b2b6-ab85e0c057d9,/resources/master/parsed_sentences/parsed_sentences_roc//story_37431.dat,"Kelly was a new student at school. She was quite nervous about it. When she went to lunch, it looked daunting. She decided to sit with some girls. The girls were actually nice.",New student,0,Kelly was a new student at school.,amod,new,student,Kelly was a,new,student at school.,4,4,5
ROC,99f9b440-f882-4270-9a89-2c067ce57d08,/resources/master/parsed_sentences/parsed_sentences_roc//story_2472.dat,"I keep several packets of vanilla sugar wafers in my car. I enjoy these as my afternoon snack at work. My daughter grabbed a packet, she was going to eat them. I roared at her to get her hands off my snack! Now when she sees the wafers, she laughs, knowing not to make me roar!",Don't touch my wafers!,0,I keep several packets of vanilla sugar wafers in my car.,amod,several,packets,I keep,several,packets of vanilla sugar wafers in my car.,3,3,4
ROC,99f9b440-f882-4270-9a89-2c067ce57d08,/resources/master/parsed_sentences/parsed_sentences_roc//story_2472.dat,"I keep several packets of vanilla sugar wafers in my car. I enjoy these as my afternoon snack at work. My daughter grabbed a packet, she was going to eat them. I roared at her to get her hands off my snack! Now when she sees the wafers, she laughs, knowing not to make me roar!",Don't touch my wafers!,4,"Now when she sees the wafers, she laughs, knowing not to make me roar!",advmod,Now,sees,,Now,"When she sees the wafers, she laughs, knowing not to make me roar!",1,1,4
ROC,762b39a2-3aa1-4e92-873b-16acfaf05a19,/resources/master/parsed_sentences/parsed_sentences_roc//story_21929.dat,"My group took our food cart to the front of the school. When the bell rang, everyone ran out of their class. They surrounded the cart since they wanted to purchase food. When the crowd was gone, we counted our total sales. It ended up being $450 dollars.",Food Sale,0,My group took our food cart to the front of the school.,compound,food,cart,My group took our,food,cart to the front of the school.,5,5,6
ROC,a6c128c4-4c5b-4e41-8758-8623ea5cfb78,/resources/master/parsed_sentences/parsed_sentences_roc//story_9790.dat,"I had to escort my grandmother out of the eye doctor. Her eyes were hurting her, so they had to remain closed. We were together for several weeks so I can monitor her. Before I was about to leave, she was about to run into a glass window. I immediately ran after her to redirect her.",Blind Eyes,0,I had to escort my grandmother out of the eye doctor.,compound,eye,doctor,I had to escort my grandmother out of the,eye,doctor.,10,10,11
ROC,a6c128c4-4c5b-4e41-8758-8623ea5cfb78,/resources/master/parsed_sentences/parsed_sentences_roc//story_9790.dat,"I had to escort my grandmother out of the eye doctor. Her eyes were hurting her, so they had to remain closed. We were together for several weeks so I can monitor her. Before I was about to leave, she was about to run into a glass window. I immediately ran after her to redirect her.",Blind Eyes,2,We were together for several weeks so I can monitor her.,advmod,together,weeks,We were,together,for several weeks so I can monitor her.,3,3,6
ROC,a6c128c4-4c5b-4e41-8758-8623ea5cfb78,/resources/master/parsed_sentences/parsed_sentences_roc//story_9790.dat,"I had to escort my grandmother out of the eye doctor. Her eyes were hurting her, so they had to remain closed. We were together for several weeks so I can monitor her. Before I was about to leave, she was about to run into a glass window. I immediately ran after her to redirect her.",Blind Eyes,2,We were together for several weeks so I can monitor her.,amod,several,weeks,We were together for,several,weeks so I can monitor her.,5,5,6
ROC,f8ea9077-8987-4308-addb-57e67bcb3f35,/resources/master/parsed_sentences/parsed_sentences_roc//story_33638.dat,"Kim loved to go hiking. There was one problem. Her water was always hot when she drank it. She decided to bring frozen water with her. By the time she was thirsty, it was melted and cold.",water,3,She decided to bring frozen water with her.,amod,frozen,water,She decided to bring,frozen,water with her.,5,5,6
