Source|StoryID|File|Full Story|Title|Sentence Number|Original Sentence|Modifier Type|Modifier|Head|Preremove Sentence Part|To Remove Part|Postremove Sentence Part|Removed Words Start Index|Removed Words End Index|Head Word Index
MICRO|/resources/master/datasets/arg-microtexts/corpus/en/micro_b045.txt|/resources/master/parsed_sentences/parsed_sentences_micro//story_15.dat|By purchasing illegally acquired tax data of citizens, the state is not only turning itself into a felon, but it is paying criminals, too. Besides, the purchase of such CDs is unnecessary today, as, due to changed terms of business, many banks urge their customers to turn themselves in. Acquiring CDs with tax data of tax delinquents is therefore out of the question. It is indisputable, however, that by purchasing such data the state increases the pressure on tax evaders to turn themselves in.|[no title]|0|By purchasing illegally acquired tax data of citizens, the state is not only turning itself into a felon, but it is paying criminals, too.|advmod|illegally|purchasing|By purchasing|illegally|acquired tax data of citizens, the state is not only turning itself into a felon, but it is paying criminals, too.|3|3|2
MICRO|/resources/master/datasets/arg-microtexts/corpus/en/micro_b045.txt|/resources/master/parsed_sentences/parsed_sentences_micro//story_15.dat|By purchasing illegally acquired tax data of citizens, the state is not only turning itself into a felon, but it is paying criminals, too. Besides, the purchase of such CDs is unnecessary today, as, due to changed terms of business, many banks urge their customers to turn themselves in. Acquiring CDs with tax data of tax delinquents is therefore out of the question. It is indisputable, however, that by purchasing such data the state increases the pressure on tax evaders to turn themselves in.|[no title]|0|By purchasing illegally acquired tax data of citizens, the state is not only turning itself into a felon, but it is paying criminals, too.|amod|acquired|data|By purchasing illegally|acquired|tax data of citizens, the state is not only turning itself into a felon, but it is paying criminals, too.|4|4|6
MICRO|/resources/master/datasets/arg-microtexts/corpus/en/micro_b045.txt|/resources/master/parsed_sentences/parsed_sentences_micro//story_15.dat|By purchasing illegally acquired tax data of citizens, the state is not only turning itself into a felon, but it is paying criminals, too. Besides, the purchase of such CDs is unnecessary today, as, due to changed terms of business, many banks urge their customers to turn themselves in. Acquiring CDs with tax data of tax delinquents is therefore out of the question. It is indisputable, however, that by purchasing such data the state increases the pressure on tax evaders to turn themselves in.|[no title]|0|By purchasing illegally acquired tax data of citizens, the state is not only turning itself into a felon, but it is paying criminals, too.|compound|tax|data|By purchasing illegally acquired|tax|data of citizens, the state is not only turning itself into a felon, but it is paying criminals, too.|5|5|6
MICRO|/resources/master/datasets/arg-microtexts/corpus/en/micro_b045.txt|/resources/master/parsed_sentences/parsed_sentences_micro//story_15.dat|By purchasing illegally acquired tax data of citizens, the state is not only turning itself into a felon, but it is paying criminals, too. Besides, the purchase of such CDs is unnecessary today, as, due to changed terms of business, many banks urge their customers to turn themselves in. Acquiring CDs with tax data of tax delinquents is therefore out of the question. It is indisputable, however, that by purchasing such data the state increases the pressure on tax evaders to turn themselves in.|[no title]|0|By purchasing illegally acquired tax data of citizens, the state is not only turning itself into a felon, but it is paying criminals, too.|advmod|only|turning|By purchasing illegally acquired tax data of citizens, the state is not|only|turning itself into a felon, but it is paying criminals, too.|13|13|15
MICRO|/resources/master/datasets/arg-microtexts/corpus/en/micro_b045.txt|/resources/master/parsed_sentences/parsed_sentences_micro//story_15.dat|By purchasing illegally acquired tax data of citizens, the state is not only turning itself into a felon, but it is paying criminals, too. Besides, the purchase of such CDs is unnecessary today, as, due to changed terms of business, many banks urge their customers to turn themselves in. Acquiring CDs with tax data of tax delinquents is therefore out of the question. It is indisputable, however, that by purchasing such data the state increases the pressure on tax evaders to turn themselves in.|[no title]|1|Besides, the purchase of such CDs is unnecessary today, as, due to changed terms of business, many banks urge their customers to turn themselves in.|amod|such|CDs|Besides, the purchase of|such|CDs is unnecessary today, as, due to changed terms of business, many banks urge their customers to turn themselves in.|5|5|7
MICRO|/resources/master/datasets/arg-microtexts/corpus/en/micro_b045.txt|/resources/master/parsed_sentences/parsed_sentences_micro//story_15.dat|By purchasing illegally acquired tax data of citizens, the state is not only turning itself into a felon, but it is paying criminals, too. Besides, the purchase of such CDs is unnecessary today, as, due to changed terms of business, many banks urge their customers to turn themselves in. Acquiring CDs with tax data of tax delinquents is therefore out of the question. It is indisputable, however, that by purchasing such data the state increases the pressure on tax evaders to turn themselves in.|[no title]|1|Besides, the purchase of such CDs is unnecessary today, as, due to changed terms of business, many banks urge their customers to turn themselves in.|amod|changed|terms|Besides, the purchase of such CDs is unnecessary today, as, due to|changed|terms of business, many banks urge their customers to turn themselves in.|13|13|17
MICRO|/resources/master/datasets/arg-microtexts/corpus/en/micro_b045.txt|/resources/master/parsed_sentences/parsed_sentences_micro//story_15.dat|By purchasing illegally acquired tax data of citizens, the state is not only turning itself into a felon, but it is paying criminals, too. Besides, the purchase of such CDs is unnecessary today, as, due to changed terms of business, many banks urge their customers to turn themselves in. Acquiring CDs with tax data of tax delinquents is therefore out of the question. It is indisputable, however, that by purchasing such data the state increases the pressure on tax evaders to turn themselves in.|[no title]|1|Besides, the purchase of such CDs is unnecessary today, as, due to changed terms of business, many banks urge their customers to turn themselves in.|amod|many|banks|Besides, the purchase of such CDs is unnecessary today, as, due to changed terms of business,|many|banks urge their customers to turn themselves in.|17|17|22
MICRO|/resources/master/datasets/arg-microtexts/corpus/en/micro_b045.txt|/resources/master/parsed_sentences/parsed_sentences_micro//story_15.dat|By purchasing illegally acquired tax data of citizens, the state is not only turning itself into a felon, but it is paying criminals, too. Besides, the purchase of such CDs is unnecessary today, as, due to changed terms of business, many banks urge their customers to turn themselves in. Acquiring CDs with tax data of tax delinquents is therefore out of the question. It is indisputable, however, that by purchasing such data the state increases the pressure on tax evaders to turn themselves in.|[no title]|2|Acquiring CDs with tax data of tax delinquents is therefore out of the question.|amod|Acquiring|CDs||Acquiring|CDs with tax data of tax delinquents is therefore out of the question.|1|1|2
MICRO|/resources/master/datasets/arg-microtexts/corpus/en/micro_b045.txt|/resources/master/parsed_sentences/parsed_sentences_micro//story_15.dat|By purchasing illegally acquired tax data of citizens, the state is not only turning itself into a felon, but it is paying criminals, too. Besides, the purchase of such CDs is unnecessary today, as, due to changed terms of business, many banks urge their customers to turn themselves in. Acquiring CDs with tax data of tax delinquents is therefore out of the question. It is indisputable, however, that by purchasing such data the state increases the pressure on tax evaders to turn themselves in.|[no title]|2|Acquiring CDs with tax data of tax delinquents is therefore out of the question.|compound|tax|data|Acquiring CDs with|tax|data of tax delinquents is therefore out of the question.|4|4|5
MICRO|/resources/master/datasets/arg-microtexts/corpus/en/micro_b045.txt|/resources/master/parsed_sentences/parsed_sentences_micro//story_15.dat|By purchasing illegally acquired tax data of citizens, the state is not only turning itself into a felon, but it is paying criminals, too. Besides, the purchase of such CDs is unnecessary today, as, due to changed terms of business, many banks urge their customers to turn themselves in. Acquiring CDs with tax data of tax delinquents is therefore out of the question. It is indisputable, however, that by purchasing such data the state increases the pressure on tax evaders to turn themselves in.|[no title]|2|Acquiring CDs with tax data of tax delinquents is therefore out of the question.|compound|tax|delinquents|Acquiring CDs with tax data of|tax|delinquents is therefore out of the question.|7|7|8
